Col1,Col2,Col3,Preprocessed Col3
0,2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,rt @ mayasolovely | ||| woman you complain clean your house ||| andamp | ||| man you trash
1,1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,rt @ mleew17 | boy dats cold ||| tyga dwn bid cuffin dat hoe 1st place
2,1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,rt @ urkindofbrand dawg ||| rt @ 80sbaby4life ||| you fuck bitch ||| start ||| you confuse shit
3,1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,rt @ c | g | anderson | @ viva | base look like tranny
4,1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,rt @ shenikaroberts ||| shit you hear true ||| faker bitch tell ya
5,1,!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"","" @ t | madison | x ||| shit just blow claim you faithful somebody fuck hoe ||| | | | " ""
6,1,!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!"","" @ | brighterdays ||| just sit hate bitch ||| shit ""
7,1,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,| @ selfiequeenbri ||| cause tire you big bitch come skinny girl |
8,1,""" &amp; you might not get ya bitch back &amp; thats that ""","" " andamp ||| ; you ya bitch andamp | thats " ""
9,1,""" @rhythmixx_ :hobbies include: fighting Mariam"","" " @ rhythmixx | ||| hobby include | fight mariam ""
bitch",,"",""
10,1,"" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh," " keeks bitch curve " " lol walk conversation like ||| smh
11,1,""" Murda Gang bitch its Gang Land ""","" " murda gang bitch gang land " ""
12,1,"" So hoes that smoke are losers ? "" yea ... go on IG," " hoe smoke loser | " " ||| yea ||| ig
13,1,""" bad bitches is the only thing that i like ""","" " bid bitch thing like " ""
14,1,""" bitch get up off me ""","" " bitch " ""
15,1,""" bitch nigga miss me with it ""","" " bitch nigga miss " ""
16,1,""" bitch plz whatever ""","" " bitch plz " ""
17,1,""" bitch who do you love ""","" " bitch you love " ""
18,1,""" bitches get cut off everyday B ""","" " bitch cut everyday b " ""
19,1,""" black bottle &amp; a bad bitch ""","" " black bottle andamp ; bid bitch " ""
20,1,""" broke bitch cant tell me nothing ""","" " break bitch tell " ""
21,1,""" cancel that bitch like Nino ""","" " cancel bitch like nino " ""
22,1,""" cant you see these hoes wont change ""","" " you hoe wont change " ""
23,1,"" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up," " fuck bitch dont suck dick " " | | | ||| kermit video bout fuck ig
24,1,"" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q,"" " ya bitch tip toe hardwood floor " ""
25,1,"" her pussy lips like Heaven doors "" &#128524;,"" " pussy lip like heaven door " ""
26,1,""" hoe what its hitting for ""","" " hoe hit " ""
